Ensembl.gene.ID	Ensembl.transcript.ID	RefSeq.mRNA.ID	Gene.name	UCSC.ID
ENSG00000049167	ENST00000265038	NM_001290285	ERCC8	uc003jsm.4
ENSG00000049167	ENST00000647486	NM_001007234	ERCC8	uc003jsm.4
ENSG00000164181	ENST00000505959	NM_001297617	ELOVL7	uc003jsj.5
ENSG00000164181	ENST00000508821	NM_024930	ELOVL7	uc003jsi.5
ENSG00000164181	ENST00000508821	NM_001297618	ELOVL7	uc003jsi.5
ENSG00000035499	ENST00000265036	NM_018369	DEPDC1B	uc003jsh.4
ENSG00000113448	ENST00000502484	NM_001349241	PDE4D	uc003jsb.5
ENSG00000113448	ENST00000502484	NM_001165899	PDE4D	uc003jsb.5
ENSG00000113448	ENST00000340635	NM_001104631	PDE4D	uc003jsa.4
ENSG00000113448	ENST00000340635	NM_001364599	PDE4D	uc003jsa.4
ENSG00000113448	ENST00000636120	NM_001349242	PDE4D	uc003jsa.4
ENSG00000113448	ENST00000507116	NM_001197218	PDE4D	uc003jrz.5
ENSG00000113448	ENST00000360047	NM_006203	PDE4D	uc003jrx.4
ENSG00000113448	ENST00000405755	NM_001197219	PDE4D	uc003jrw.4
ENSG00000113448	ENST00000503258	NM_001197220	PDE4D	uc003jrv.4
ENSG00000113448	ENST00000358923	NM_001197222	PDE4D	uc003jrt.4
ENSG00000113448	ENST00000358923	NM_001197221	PDE4D	uc003jrt.4
ENSG00000113448	ENST00000358923	NM_001349243	PDE4D	uc003jrt.4
ENSG00000113448	ENST00000317118	NM_001197223	PDE4D	uc003jrs.4
ENSG00000152932	ENST00000282878	NM_138453	RAB3C	uc003jrp.4
ENSG00000152932	ENST00000282878	NM_001317915	RAB3C	uc003jrp.4
ENSG00000175857	ENST00000396776	NM_001304431	GAPT	uc003jro.2
ENSG00000175857	ENST00000396776	NM_001304428	GAPT	uc003jro.2
ENSG00000175857	ENST00000396776	NM_152687	GAPT	uc003jro.2
ENSG00000175857	ENST00000396776	NM_001304429	GAPT	uc003jro.2
ENSG00000145632	ENST00000274289	NM_006622	PLK2	uc003jrn.4
ENSG00000169067	ENST00000423391	NM_001017992	ACTBL2	uc003jrm.3
ENSG00000062194	ENST00000264779	NM_001127236	GPBP1	uc003jrk.5
ENSG00000062194	ENST00000511209	NM_001127235	GPBP1	uc003jrj.5
ENSG00000062194	ENST00000514387	NM_001203246	GPBP1	uc003jri.5
ENSG00000062194	ENST00000506184	NM_022913	GPBP1	uc003jrh.5
ENSG00000155545	ENST00000381199	NM_001297599	MIER3	uc003jrd.2
ENSG00000155545	ENST00000381226	NM_001297598	MIER3	uc003jrc.2
ENSG00000155545	ENST00000381213	NM_152622	MIER3	uc003jra.2
ENSG00000155542	ENST00000285947	NM_001323018	SETD9	uc003jqx.4
ENSG00000155542	ENST00000285947	NM_001323019	SETD9	uc003jqx.4
ENSG00000155542	ENST00000285947	NM_001323022	SETD9	uc003jqx.4
ENSG00000155542	ENST00000285947	NM_153706	SETD9	uc003jqx.4
ENSG00000095015	ENST00000399503	NM_005921	MAP3K1	uc003jqw.5
ENSG00000164512	ENST00000341048	NM_024669	ANKRD55	uc003jqu.4
ENSG00000134352	ENST00000381298	NM_002184	IL6ST	uc003jqq.4
ENSG00000164509	ENST00000490985	NM_001242639	IL31RA	uc003jqo.4
ENSG00000164509	ENST00000359040	NM_001242637	IL31RA	uc003jqn.4
ENSG00000164509	ENST00000396834	NM_001242638	IL31RA	uc003jqm.4
ENSG00000164509	ENST00000447346	NM_139017	IL31RA	uc003jql.4
ENSG00000164509	ENST00000396836	NM_001297570	IL31RA	uc003jqk.3
ENSG00000164509	ENST00000396836	NM_001297572	IL31RA	uc003jqk.3
ENSG00000152670	ENST00000511853	NM_001166534	DDX4	uc003jqj.4
ENSG00000152670	ENST00000353507	NM_001142549	DDX4	uc003jqh.4
ENSG00000152670	ENST00000505374	NM_024415	DDX4	uc003jqg.5
ENSG00000177058	ENST00000396865	NM_001349382	SLC38A9	uc003jqf.3
ENSG00000177058	ENST00000396865	NM_001349383	SLC38A9	uc003jqf.3
ENSG00000177058	ENST00000396865	NM_001349384	SLC38A9	uc003jqf.3
ENSG00000177058	ENST00000396865	NM_173514	SLC38A9	uc003jqf.3
ENSG00000177058	ENST00000396865	NM_001349385	SLC38A9	uc003jqf.3
ENSG00000177058	ENST00000515629	NM_001258286	SLC38A9	uc003jqd.4
ENSG00000067113	ENST00000307259	NM_003711	PLPP1	uc003jqa.5
ENSG00000067113	ENST00000264775	NM_176895	PLPP1	uc003jpz.5
ENSG00000039123	ENST00000230640	NM_015360	MTREX	uc003jpy.5
ENSG00000067248	ENST00000251636	NM_001345965	DHX29	uc003jpx.4
ENSG00000067248	ENST00000251636	NM_019030	DHX29	uc003jpx.4
ENSG00000067248	ENST00000251636	NM_001345964	DHX29	uc003jpx.4
ENSG00000152669	ENST00000282572	NM_021147	CCNO	uc003jpw.4
ENSG00000164294	ENST00000515370	NM_001306201	GPX8	uc003jpt.3
ENSG00000164294	ENST00000515370	NM_001306197	GPX8	uc003jpt.3
ENSG00000164294	ENST00000296734	NM_001306198	GPX8	uc003jpr.3
ENSG00000164294	ENST00000503787	NM_001008397	GPX8	uc003jpq.3
ENSG00000164287	ENST00000381375	NM_001170402	CDC20B	uc003jpo.3
ENSG00000164287	ENST00000296733	NM_152623	CDC20B	uc003jpn.3
ENSG00000145649	ENST00000274306	NM_006144	GZMA	uc003jpm.4
ENSG00000113088	ENST00000231009	NM_002104	GZMK	uc003jpl.2
ENSG00000164283	ENST00000381405	NM_007036	ESM1	uc003jpk.4
ENSG00000178996	ENST00000343017	NM_052870	SNX18	uc003jpj.5
ENSG00000178996	ENST00000381410	NM_001102575	SNX18	uc003jpi.5
ENSG00000169271	ENST00000302005	NM_006308	HSPB3	uc003jph.2
ENSG00000185305	ENST00000504924	NM_019087	ARL15	uc003jpg.1
ENSG00000164258	ENST00000296684	NM_002495	NDUFS4	uc003jpe.3
ENSG00000134363	ENST00000256759	NM_013409	FST	uc003jpd.4
ENSG00000134363	ENST00000396947	NM_006350	FST	uc003jpc.4
ENSG00000164172	ENST00000396954	NM_004531	MOCS2	uc003joz.5
ENSG00000164171	ENST00000296585	NM_002203	ITGA2	uc003joy.3
ENSG00000213949	ENST00000282588	NM_181501	ITGA1	uc003jou.4
ENSG00000152684	ENST00000274311	NM_015946	PELO	uc003jos.5
ENSG00000016082	ENST00000230658	NM_002202	ISL1	uc003jor.4
ENSG00000151883	ENST00000514067	NM_001178056	PARP8	uc003jop.4
ENSG00000151883	ENST00000281631	NM_024615	PARP8	uc003joo.3
ENSG00000151883	ENST00000505697	NM_001178055	PARP8	uc003jon.5
ENSG00000170571	ENST00000303221	NM_198449	EMB	uc003jom.4
ENSG00000164588	ENST00000303230	NM_021072	HCN1	uc003jok.5
ENSG00000112996	ENST00000507110	NM_016640	MRPS30	uc003joh.4
